Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/?q=panda&atb=v183-1&ia=web,74,0,310.0,320.1767753910374,159.37471389770508,472.55825996398926,20888.513513513513,0.5816614341902342,0.0,310,340,340,350,360,390,460,470,470,470,470,470
,Aggregated,74,0,310.0,320.1767753910374,159.37471389770508,472.55825996398926,20888.513513513513,0.5816614341902342,0.0,310,340,340,350,360,390,460,470,470,470,470,470
