Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,99.999%,100%
GET,/companies,52,19,10,9.08061174245981,1.9917488098144531,16.211509704589844,43.15384615384615,0.08016163169596295,0.029289826965832617,11,11,12,12,13,13,16,16,16,16,16,16
,Aggregated,52,19,10,9.08061174245981,1.9917488098144531,16.211509704589844,43.15384615384615,0.08016163169596295,0.029289826965832617,11,11,12,12,13,13,16,16,16,16,16,16
